gysz;Megrendelésszám;Gyáriszám;Megnevezés ;Cikkszám;GYÉv
856192;4570000557;1200856192;G4_FLOG_RF1_MEMB_05;G00018;2012
856622;4570000557;1200856622;G4_FLOG_RF1_MEMB_05;G00018;2012
857312;4570000557;1200857312;G4_FLOG_RF1_MEMB_05;G00018;2012
857402;4570000557;1200857402;G4_FLOG_RF1_MEMB_05;G00018;2012
857528;4570000557;1200857528;G4_FLOG_RF1_MEMB_05;G00018;2012
857890;4570000557;1200857890;G4_FLOG_RF1_MEMB_05;G00018;2012
858446;4570000557;1200858446;G4_FLOG_RF1_MEMB_05;G00018;2012
858586;4570000557;1200858586;G4_FLOG_RF1_MEMB_05;G00018;2012
858665;4570000557;1200858665;G4_FLOG_RF1_MEMB_05;G00018;2012
858742;4570000557;1200858742;G4_FLOG_RF1_MEMB_05;G00018;2012
858786;4570000557;1200858786;G4_FLOG_RF1_MEMB_05;G00018;2012
859290;4570000557;1200859290;G4_FLOG_RF1_MEMB_05;G00018;2012
900960;4570000557;16101300900960;G4_FLOG_RF1_MEMB_05;G00018;2013
900945;4570000557;16101300900945;G4_FLOG_RF1_MEMB_05;G00018;2013
913309;4570000557;16101300913309;G4_FLOG_RF1_MEMB_05;G00018;2013
909107;4570000557;16101300909107;G4_FLOG_RF1_MEMB_05;G00018;2013
861148;4570000557;16101300861148;G4_FLOG_RF1_MEMB_05;G00018;2013
908972;4570000557;16101300908972;G4_FLOG_RF1_MEMB_05;G00018;2013
897751;4570000557;16101300897751;G4_FLOG_RF1_MEMB_05;G00018;2013
876877;4570000557;16101300876877;G4_FLOG_RF1_MEMB_05;G00018;2013
876279;4570000557;16101300876279;G4_FLOG_RF1_MEMB_05;G00018;2013
865255;4570000557;16101300865255;G4_FLOG_RF1_MEMB_05;G00018;2013
886706;4570000557;16101300886706;G4_FLOG_RF1_MEMB_05;G00018;2013
867599;4570000557;16101300867599;G4_FLOG_RF1_MEMB_05;G00018;2013
867569;4570000557;16101300867569;G4_FLOG_RF1_MEMB_05;G00018;2013
868122;4570000557;16101300868122;G4_FLOG_RF1_MEMB_05;G00018;2013
916489;4570000557;16101300916489;G4_FLOG_RF1_MEMB_05;G00018;2013
870259;4570000557;16101300870259;G4_FLOG_RF1_MEMB_05;G00018;2013
866753;4570000557;16101300866753;G4_FLOG_RF1_MEMB_05;G00018;2013
871936;4570000557;16101300871936;G4_FLOG_RF1_MEMB_05;G00018;2013
